id,title,description,difficulty_level,examples,constraints,test_cases
24,Merge Sorted Arrays,"Given two sorted integer arrays nums1 and nums2, merge nums2 into nums1 as one sorted array. The number of elements initialized in nums1 and nums2 are m and n respectively. Assume that nums1 has enough space (size greater or equal to m + n) to hold additional elements from nums2.",Medium,"[{""input"": {""m"": 3, ""n"": 3, ""nums1"": [1, 2, 3, 0, 0, 0], ""nums2"": [2, 5, 6]}, ""output"": 1}, {""input"": {""m"": 1, ""n"": 1, ""nums1"": [1, 0], ""nums2"": [2]}, ""output"": 1}]","[""-10^9 <= nums1[i], nums2[i] <= 10^9"", ""1 <= m + n <= 200"", ""0 <= m, n <= 200"", ""nums2.length == n"", ""nums1.length == m + n""]","[{""input"": {""m"": 3, ""n"": 3, ""nums1"": [1, 2, 3, 0, 0, 0], ""nums2"": [2, 5, 6]}, ""expected_output"": 1}, {""input"": {""m"": 1, ""n"": 1, ""nums1"": [1, 0], ""nums2"": [2]}, ""expected_output"": 1}, {""input"": {""m"": 0, ""n"": 1, ""nums1"": [0], ""nums2"": [1]}, ""expected_output"": 1}, {""input"": {""m"": 3, ""n"": 3, ""nums1"": [4, 5, 6, 0, 0, 0], ""nums2"": [1, 2, 3]}, ""expected_output"": 1}, {""input"": {""m"": 5, ""n"": 1, ""nums1"": [1, 2, 3, 4, 5, 0], ""nums2"": [6]}, ""expected_output"": 1}]"
25,Palindrome Check,"Given a string, return 1 if the string is a palindrome (reads the same forwards and backward), and 0 otherwise. Ignore spaces and case.",Easy,"[{""input"": {""s"": ""Race car""}, ""output"": 1}, {""input"": {""s"": ""hello""}, ""output"": 0}]","[""s consists of printable ASCII characters."", ""1 \u2264 s.length \u2264 10^5""]","[{""input"": {""s"": ""Race car""}, ""expected_output"": 1}, {""input"": {""s"": ""hello""}, ""expected_output"": 0}, {""input"": {""s"": ""A man a plan a canal Panama""}, ""expected_output"": 1}, {""input"": {""s"": ""Was it a car or a cat I saw?""}, ""expected_output"": 1}, {""input"": {""s"": ""Madam, I'm Adam""}, ""expected_output"": 1}, {""input"": {""s"": ""hello world""}, ""expected_output"": 0}]"
26,Check if a value exists in a binary tree (Preorder),"Given the root of a binary tree and an integer target, return 1 if the target exists in the tree, otherwise return 0. Check for the target using a preorder traversal.",Easy,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""output"": 0}]","[""-1000 <= target <= 1000"", ""-1000 <= Node.val <= 1000"", ""The number of nodes in the tree is in the range [0, 100].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 4}, ""expected_output"": 0}, {""input"": {""root"": null, ""target"": 5}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 5, ""left"": null, ""right"": null}, ""target"": 5}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""target"": 15}, ""expected_output"": 1}]"
27,Minimum Window Substring with k Distinct Characters,"Given a string `s` and an integer `k`, find the length of the smallest substring of `s` that contains exactly `k` distinct characters. If no such substring exists, return -1.",Hard,"[{""input"": {""k"": 2, ""s"": ""eceba""}, ""output"": 3}, {""input"": {""k"": 1, ""s"": ""aa""}, ""output"": 2}]","[""`s` consists of lowercase English letters."", ""1 <= k <= 26"", ""1 <= s.length <= 10^5""]","[{""input"": {""k"": 2, ""s"": ""eceba""}, ""expected_output"": 3}, {""input"": {""k"": 1, ""s"": ""aa""}, ""expected_output"": 2}, {""input"": {""k"": 2, ""s"": ""abaccc""}, ""expected_output"": 4}, {""input"": {""k"": 3, ""s"": ""aabbcc""}, ""expected_output"": 6}, {""input"": {""k"": 4, ""s"": ""aabbcc""}, ""expected_output"": -1}]"
28,Array Rotation Check,"Given two arrays, arr1 and arr2, of the same length, determine if arr2 is a rotated version of arr1. Return 1 if arr2 is a rotated version of arr1, and 0 otherwise. A rotated version of an array is obtained by shifting the elements of the array to the right or left by some number of positions, wrapping around the ends.",Medium,"[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [3, 4, 5, 1, 2]}, ""output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [5, 1, 2, 3, 4]}, ""output"": 1}]","[""0 \u2264 arr2[i] \u2264 10^9"", ""0 \u2264 arr1[i] \u2264 10^9"", ""arr1.length == arr2.length"", ""1 \u2264 arr1.length \u2264 10^4""]","[{""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [3, 4, 5, 1, 2]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [5, 1, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [1, 3, 2, 4, 5]}, ""expected_output"": 0}, {""input"": {""arr1"": [1, 2, 3, 4, 5], ""arr2"": [2, 3, 4, 5, 6]}, ""expected_output"": 0}]"
29,Activity Selection,"Given a set of activities with their start and finish times, select the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Activities are represented as pairs of integers (start_time, finish_time). Return the maximum number of non-overlapping activities.",Medium,"[{""input"": {""activities"": [[1, 2], [3, 4], [0, 6], [5, 7], [8, 9], [5, 9]]}, ""output"": 4}, {""input"": {""activities"": [[1, 3], [2, 4], [3, 5], [4, 6]]}, ""output"": 2}]","[""0 \u2264 start_time < finish_time \u2264 10^9"", ""1 \u2264 number of activities \u2264 10^5""]","[{""input"": {""activities"": [[1, 2], [3, 4], [0, 6], [5, 7], [8, 9], [5, 9]]}, ""expected_output"": 4}, {""input"": {""activities"": [[1, 3], [2, 4], [3, 5], [4, 6]]}, ""expected_output"": 2}, {""input"": {""activities"": [[1, 10], [2, 3], [3, 4]]}, ""expected_output"": 2}, {""input"": {""activities"": [[0, 1], [0, 2], [0, 3]]}, ""expected_output"": 1}, {""input"": {""activities"": [[1, 2]]}, ""expected_output"": 1}]"
30,Cycle Detection in Undirected Graph,"Given an undirected graph represented by a list of edges, determine if the graph contains a cycle. Return 1 if a cycle exists, and 0 otherwise.",Medium,"[{""input"": {""edges"": [[0, 1], [1, 2], [2, 0], [0, 3], [3, 4]], ""num_nodes"": 5}, ""output"": 1}, {""input"": {""edges"": [[0, 1], [1, 2], [2, 3]], ""num_nodes"": 4}, ""output"": 0}]","[""No duplicate edges."", ""No self-loops (edge from a node to itself)."", ""Edges are represented as pairs of node indices (0-indexed)."", ""0 <= number of edges <= num_nodes * (num_nodes - 1) / 2"", ""1 <= num_nodes <= 100""]","[{""input"": {""edges"": [[0, 1], [1, 2], [2, 0], [0, 3], [3, 4]], ""num_nodes"": 5}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1], [1, 2], [2, 3]], ""num_nodes"": 4}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""num_nodes"": 6}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1], [1, 2]], ""num_nodes"": 3}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 0]], ""num_nodes"": 7}, ""expected_output"": 1}]"
31,K-th Smallest Element After Merging Sorted Arrays,"Given k sorted arrays, find the k-th smallest element among all the arrays. Return the k-th smallest element, or -1 if k is out of bounds.",Hard,"[{""input"": {""k"": 5, ""arrays"": [[1, 3, 5, 7], [2, 4, 6, 8], [0, 9, 10, 11]]}, ""output"": 4}, {""input"": {""k"": 1, ""arrays"": [[1, 2], [3, 4]]}, ""output"": 1}]","[""1 <= k <= sum(len(arrays[i])) for all i"", ""-10^9 <= arrays[i][j] <= 10^9"", ""1 <= arrays[i].length <= 500"", ""1 <= arrays.length <= 500""]","[{""input"": {""k"": 5, ""arrays"": [[1, 3, 5, 7], [2, 4, 6, 8], [0, 9, 10, 11]]}, ""expected_output"": 4}, {""input"": {""k"": 1, ""arrays"": [[1, 2], [3, 4]]}, ""expected_output"": 1}, {""input"": {""k"": 3, ""arrays"": [[5], [1, 2, 3, 4]]}, ""expected_output"": 3}, {""input"": {""k"": 4, ""arrays"": [[1, 1, 1], [2, 2, 2]]}, ""expected_output"": 2}, {""input"": {""k"": 7, ""arrays"": [[10, 20, 30], [1, 5, 9]]}, ""expected_output"": 20}]"
32,Find First Bad Version,"You are a product manager and currently leading a team to develop a new product. Unfortunately, the latest version of your product fails the quality check. Since each version is developed based on the previous one, all versions after a bad version are also bad.

Suppose you have n versions [1, 2, ..., n] and you want to find out the first bad one, which causes all the following ones to be bad.

You are given an API bool isBadVersion(version) which returns whether version is bad. Implement a function to find the first bad version. You should minimize the number of calls to the API.",Medium,"[{""input"": {""n"": 5, ""bad"": 4}, ""output"": 4}, {""input"": {""n"": 1, ""bad"": 1}, ""output"": 1}]","[""1 <= bad <= n"", ""1 <= n <= 2^31 - 1""]","[{""input"": {""n"": 5, ""bad"": 4}, ""expected_output"": 4}, {""input"": {""n"": 1, ""bad"": 1}, ""expected_output"": 1}, {""input"": {""n"": 10, ""bad"": 6}, ""expected_output"": 6}, {""input"": {""n"": 20, ""bad"": 15}, ""expected_output"": 15}, {""input"": {""n"": 100, ""bad"": 1}, ""expected_output"": 1}]"
33,Maximum Events Attended II,"Given an array of events where events[i] = [startDayi, endDayi, valuei]. You can attend at most k events. You can only attend one event at any time t where startDayi <= t <= endDayi. Attend all the events that will maximize your value. Return the maximum total value you can receive after attending the events.",Hard,"[{""input"": {""k"": 2, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""output"": 7}, {""input"": {""k"": 3, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1], [4, 5, 5]]}, ""output"": 12}]","[""1 <= valuei <= 10^6"", ""1 <= startDayi <= endDayi <= 10^5"", ""events[i].length == 3"", ""1 <= events.length <= 10^4"", ""1 <= k <= events.length""]","[{""input"": {""k"": 2, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""expected_output"": 7}, {""input"": {""k"": 3, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1], [4, 5, 5]]}, ""expected_output"": 12}, {""input"": {""k"": 1, ""events"": [[1, 2, 4], [3, 4, 3], [2, 3, 1]]}, ""expected_output"": 4}, {""input"": {""k"": 3, ""events"": [[1, 1, 1], [2, 2, 2], [3, 3, 3]]}, ""expected_output"": 6}, {""input"": {""k"": 2, ""events"": [[1, 3, 5], [2, 4, 8], [3, 5, 2], [2, 2, 10]]}, ""expected_output"": 18}]"
34,Maximum Non-Overlapping Activities,"Given a set of activities, each with a start time and finish time, determine the maximum number of activities that can be performed by a single person, assuming that a person can only work on one activity at a time. Activities are represented as pairs of integers (start_time, end_time). Return the maximum number of non-overlapping activities that can be scheduled.",Hard,"[{""input"": {""activities"": [[1, 2], [3, 4], [0, 6], [5, 7], [8, 9], [5, 9]]}, ""output"": 4}, {""input"": {""activities"": [[1, 3], [2, 4], [3, 5], [4, 6], [5, 7]]}, ""output"": 3}]","[""0 <= start_time < end_time <= 10^9"", ""1 <= number of activities <= 10^5""]","[{""input"": {""activities"": [[1, 2], [3, 4], [0, 6], [5, 7], [8, 9], [5, 9]]}, ""expected_output"": 4}, {""input"": {""activities"": [[1, 3], [2, 4], [3, 5], [4, 6], [5, 7]]}, ""expected_output"": 3}, {""input"": {""activities"": [[1, 10], [2, 3], [4, 5], [6, 7]]}, ""expected_output"": 3}, {""input"": {""activities"": [[0, 1], [0, 2]]}, ""expected_output"": 1}, {""input"": {""activities"": [[10, 12], [1, 11], [12, 13]]}, ""expected_output"": 2}]"
35,Maximum Increasing Path Sum in Binary Tree,"Given a binary tree where each node has a positive integer value, find the maximum sum of a path from any node to any node in the tree, such that the values of the nodes in the path are strictly increasing. A path must have at least one node. Return 0 if no increasing path exists.",Hard,"[{""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": null}}}, ""output"": 45}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 5}]","[""1 <= Node.val <= 10^5"", ""The number of nodes in the tree is in the range [1, 3 * 10^4].""]","[{""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 45}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 5}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}, ""expected_output"": 3}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 20, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}, ""expected_output"": 20}]"
36,Path Between Two Nodes,"Given a directed graph represented as an adjacency list and two nodes, determine if there is a path between the two nodes. Return 1 if a path exists, otherwise return 0.",Easy,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 3}, ""output"": 0}]","[""Node values will be integers from 0 to 99."", ""The graph will contain at most 100 nodes.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 0, ""graph"": {""0"": [1, 2], ""1"": [2], ""2"": [0, 3], ""3"": [3]}, ""start"": 3}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 3, ""graph"": {""0"": [1], ""1"": [2], ""2"": [], ""3"": []}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 3, ""graph"": {""0"": [], ""1"": [], ""2"": [], ""3"": []}, ""start"": 0}, ""expected_output"": 0}]"
37,Same Level Leaf Sum,"Given a binary tree, determine if the sum of leaf nodes at each level is the same. Return 1 if it is, and 0 otherwise.",Medium,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""output"": 0}]","[""0 \u2264 Node.val \u2264 1000"", ""1 \u2264 Number of nodes in the tree \u2264 1000""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 6, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 0}]"
38,Maximum Sum Subarray After Circular Shift,"Given an array of integers, find the maximum possible sum of a contiguous subarray after performing at most one circular shift on the array. A circular shift involves moving the last element to the beginning of the array. Return the maximum subarray sum.",Hard,"[{""input"": {""nums"": [1, -2, 3, -2]}, ""output"": 3}, {""input"": {""nums"": [5, -3, 5]}, ""output"": 10}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, -2, 3, -2]}, ""expected_output"": 3}, {""input"": {""nums"": [5, -3, 5]}, ""expected_output"": 10}, {""input"": {""nums"": [-2, -3, -1]}, ""expected_output"": -1}, {""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 15}, {""input"": {""nums"": [-1, 4, -2, 5, -6]}, ""expected_output"": 7}]"
39,Palindrome Substrings,"Given a string s, return the number of palindromic substrings in it. A substring is a contiguous sequence of characters within the string. A palindrome is a string that reads the same backward as forward.",Medium,"[{""input"": {""s"": ""abc""}, ""output"": 3}, {""input"": {""s"": ""aaa""}, ""output"": 6}]","[""s consists of lowercase English letters."", ""1 <= s.length <= 1000""]","[{""input"": {""s"": ""abc""}, ""expected_output"": 3}, {""input"": {""s"": ""aaa""}, ""expected_output"": 6}, {""input"": {""s"": ""aba""}, ""expected_output"": 4}, {""input"": {""s"": ""racecar""}, ""expected_output"": 7}, {""input"": {""s"": ""a""}, ""expected_output"": 1}]"
40,Find Target in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, determine if the target exists in the array. Return 1 if the target exists, and 0 otherwise. Solve this problem using Binary Search.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""output"": 1}]","[""-10^4 \u2264 target \u2264 10^4"", ""nums is sorted in ascending order."", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}]"
